X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
103.0,103.0,train,0.004391247768892359,78.7643346074291,0.9653008327015088
104.0,104.0,train,0.005034505654015285,83.61366658822674,0.9787921955837168
105.0,105.0,train,0.00402085154683179,75.8161590620241,0.9539275504205633
108.0,108.0,train,1.2420720035755562E-4,4.3352771302094,0.09068852283969076
109.0,109.0,train,8.806953303212928E-4,36.30314237649436,0.4903748906703578
110.0,110.0,train,0.004720075522200882,80.16252074890244,0.9730217082444166
111.0,111.0,train,0.0014932528948578788,49.86751240923408,0.6811161887639194
112.0,112.0,train,0.002249042746271635,59.92437375955175,0.821185501301098
113.0,113.0,train,0.0015600520109164862,51.086238584477506,0.6970102152501552
116.0,116.0,train,8.735360316093635E-4,35.96555475671608,0.48757463664589185
