Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.01659E-4,6.518308833,0.143027226,0.110068934,0.028169014,0.083333333
2.08294E-4,6.76377419,0.147368045,0.108712849,0.035211268,0.083333333
2.12038E-4,7.016026328,0.14980802,0.107356763,0.035211268,0.083333333
2.16779E-4,7.252086591,0.152887166,0.106113685,0.035211268,0.083333333
2.22168E-4,7.515696552,0.156373924,0.1047576,0.035211268,0.083333333
2.26966E-4,7.763080851,0.159466821,0.103514521,0.035211268,0.1
2.31992E-4,8.015899505,0.162693651,0.102271443,0.035211268,0.1
2.37586E-4,8.251377574,0.166271106,0.101141372,0.035211268,0.1
2.40144E-4,8.514174343,0.167902065,0.099898294,0.042253521,0.1
2.43243E-4,8.755829303,0.169873205,0.098768222,0.042253521,0.1
2.46626E-4,9.000680281,0.172020333,0.097638151,0.042253521,0.1
2.51195E-4,9.274981156,0.174910708,0.096395073,0.042253521,0.1
2.54125E-4,9.502698838,0.176758646,0.095378009,0.042253521,0.1
2.5945E-4,9.759478862,0.180107393,0.094247938,0.049295775,0.1
2.63559E-4,10.02068583,0.182682071,0.093117866,0.056338028,0.1
2.67242E-4,10.259759566,0.184982719,0.092100802,0.056338028,0.1
2.69267E-4,10.501498827,0.186245064,0.091083738,0.056338028,0.1
2.73307E-4,10.772365641,0.188757448,0.089953667,0.056338028,0.1
2.76732E-4,11.019758367,0.190881343,0.088936603,0.063380282,0.1
2.81124E-4,11.271546739,0.193596644,0.087919539,0.063380282,0.1
2.85538E-4,11.527232401,0.196316079,0.086902475,0.063380282,0.1
2.8824E-4,11.756597024,0.197976781,0.085998418,0.063380282,0.1
2.96019E-4,12.019642999,0.202737911,0.084981354,0.063380282,0.1
2.97869E-4,12.257167955,0.203865492,0.084077297,0.063380282,0.1
3.02971E-4,12.527731754,0.206968877,0.083060233,0.063380282,0.116666667
3.06264E-4,12.771678015,0.208965156,0.082156176,0.070422535,0.116666667
3.10781E-4,13.017927247,0.211695201,0.081252119,0.077464789,0.116666667
3.14485E-4,13.268547742,0.213926836,0.080348062,0.077464789,0.116666667
3.18691E-4,13.522229733,0.216453274,0.079444005,0.077464789,0.116666667
3.2048E-4,13.777898021,0.217525208,0.078539948,0.077464789,0.116666667
3.24399E-4,14.00390451,0.219868731,0.077748898,0.077464789,0.116666667
3.27496E-4,14.264613053,0.221715823,0.076844841,0.077464789,0.116666667
3.36015E-4,14.530616497,0.226774029,0.075940784,0.077464789,0.133333333
3.40904E-4,14.768024192,0.229661995,0.075149734,0.077464789,0.133333333
3.46148E-4,15.008593756,0.232748007,0.074358685,0.077464789,0.15
3.4848E-4,15.251731075,0.234116244,0.073567635,0.077464789,0.15
3.53124E-4,15.532233364,0.236833817,0.072663578,0.077464789,0.15
3.57941E-4,15.781212247,0.239642164,0.071872528,0.084507042,0.15
3.64925E-4,16.034438559,0.243696166,0.071081478,0.091549296,0.15
